Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Ridgeline Expansion Project,Draft,,05/31/2024,Federal Energy Regulatory Commission,"EPA, USFWS, NPS, USACE",TN
Atlantic Shores Offshore Wind South,Final,,05/31/2024,Bureau of Ocean Energy Management,"ACHP, EPA, USFWS, NMFS, NPS, USACE, USCG",NJ
Glen Canyon Dam Long-Term Experimental and Management Plan,Final Supplement,,05/31/2024,Bureau of Reclamation,"BIA, NPS, WAPA",UT - AZ
California High-Speed Rail Authority Palmdale to Burbank Project Section: Final Environmental Impact Report / Environmental Impact Statement,Final,,05/24/2024,California High-Speed Rail Authority,"BLM, FAA, USFS, STB, USACE",CA
Lake Okeechobee System Operating Manual,Final,,05/24/2024,U.S. Army Corps of Engineers,,FL
Bald Mountain Mine Plan of Operations Amendment Juniper Project,Final,,05/24/2024,Bureau of Land Management,,NV
B-21 Beddown MOB 2/MOB 3,Final,,05/24/2024,United States Air Force,,TX - SD
Pocasset River Flood Damage Reduction Project,Revised Final,,05/24/2024,Natural Resource Conservation Service,,RI
West Fork Kickapoo Watershed,Final,,05/17/2024,Natural Resource Conservation Service,"EPA, USFWS, USACE",WI
Coon Creek Watershed,Final,,05/17/2024,Natural Resource Conservation Service,"EPA, USFWS, USACE",WI
Miles City Field Office Final Supplemental Environmental Impact Statement and Proposed Resource Management Plan,Final Supplement,,05/17/2024,Bureau of Land Management,"EPA, OSM",MT
Buffalo Field Office Final Supplemental Environmental Impact Statement and Proposed Resource Management Plan,Final Supplement,,05/17/2024,Bureau of Land Management,"EPA, USFWS, NPS, OSM",WY
Final Amendment 15 to the 2006 Consolidated Atlantic Highly Migratory Species Fishery Management Plan,Final,,05/10/2024,National Marine Fisheries Service,,GA - LA - MA - MD - ME - MS - NC - NH - NJ - NY - RI - SC - TX - VA - NC - AL - CT - DE - FL
"Supplemental Environmental Impact Statement to Reconsider a Highway Right-of-Way Application and Associated Amendment of an Incidental Take Permit, Washington County, Utah",Draft Supplement,,05/10/2024,Bureau of Land Management,USFWS,UT
"Generic Environmental Impact Statement for License Renewal of Nuclear Plants, Supplement 60, Regarding License Renewal of Comanche Peak Nuclear Power Plant",Final Supplement,,05/03/2024,Nuclear Regulatory Commission,,TX
Tahoe National Forest Over-Snow Vehicle Use Designation,Final,,05/03/2024,Forest Service,,CA
"T-7A Recapitalization at Columbus Air Force Base, Mississippi",Final,06/03/2024,05/03/2024,United States Air Force,,MS
Ambler Road Final Supplemental Environmental Impact Statement,Final Supplement,,04/26/2024,Bureau of Land Management,"EPA, USFWS, NPS, USACE",AK
Central Yukon Resource Management Plan,Final,,04/26/2024,Bureau of Land Management,USFWS,AK
